animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,animal-mortality-type,animal-mortality-date,animal-death-comments,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-timestamp,deployment-comments,deployment-end-type,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
L935183,Aramazd,,u,Larus armenicus,ARMENIAN_GULL,adult,1043,,,,harness,,40.511731,45.03944,,2026-04-18T11:45:00Z,,,none,,phone network,GPS,1100000576,Interrex,15,1100000576
L935180,Navasar,,u,Larus armenicus,ARMENIAN_GULL,adult,896,,,,harness,,40.511731,45.03944,,2026-04-17T17:45:00Z,,,none,,phone network,GPS,110000057c,Interrex,15,110000057c
Z.AOH,Hatis,Z.AOH,u,Larus armenicus,ARMENIAN_GULL,adult,856,unknown,2024-09-05T14:00:00Z,"Dead, no further info.",harness,2024-09-05T14:00:00Z,40.512925,45.025987,wing_length: 44.5 | head_length: 123.40 | tarsus_length: 72.60,2024-07-10T06:45:00Z,"Dead, no further info.",dead,none,,phone network,GPS,110000057c,Interrex,15,110000057c
L935176,Urts,,u,Larus armenicus,ARMENIAN_GULL,adult,938,,,,harness,,40.511731,45.03944,,2026-04-17T16:45:00Z,,,none,,phone network,GPS,1100000593,Interrex,15,1100000593
L935170,Sasun,,u,Larus armenicus,ARMENIAN_GULL,juvenile,894,,,,harness,,40.512925,45.025987,,2026-04-17T08:55:00Z,,,none,,phone network,GPS,1100000594,Interrex,15,1100000594
L935181,Nazeli,,u,Larus armenicus,ARMENIAN_GULL,adult,873,,,,harness,,40.511731,45.03944,,2026-04-17T18:00:00Z,,,none,,phone network,GPS,11000005cd,Interrex,15,11000005cd
Z.AOT,Areguni,Z.AOT,u,Larus armenicus,ARMENIAN_GULL,adult,823,unknown,2024-10-07T08:00:00Z,"Dead, no further info.",harness,2024-10-07T08:00:00Z,40.512925,45.025987,wing_length: 44.0 | head_length: 122.60 | tarsus_length: 69.60,2024-07-10T08:20:00Z,"Dead, no further info.",dead,none,,phone network,GPS,11000005cd,Interrex,15,11000005cd
Z.AOW,Levon,Z.AOW,u,Larus armenicus,ARMENIAN_GULL,juvenile,706,,,,harness,,40.512925,45.025987,wing_length: 42.7 | head_length: 115.3 | tarsus_length: 71.0,2024-09-14T15:50:00Z,,,none,,phone network,GPS,11000005da,Interrex,15,11000005da
L935168,Mush,,u,Larus armenicus,ARMENIAN_GULL,adult,1094,,,,harness,,40.511731,45.03944,,2026-04-16T17:37:00Z,,,none,,phone network,GPS,11000008e9,Interrex,15,11000008e9
L935152,Vana,,u,Larus armenicus,ARMENIAN_GULL,adult,813,,,,harness,,40.512925,45.025987,wing_length: 44.0 | head_length: 114.6 | tarsus_length: 62.1,2025-05-18T13:30:00Z,,,none,,phone network,GPS,110000090e,Interrex,15,110000090e
L935157,Maruta,,u,Larus armenicus,ARMENIAN_GULL,adult,862,,,,harness,,40.512925,45.025987,wing_length: 45.0 | head_length: 114.5 | tarsus_length: 69.8,2025-05-21T20:00:00Z,,,none,,phone network,GPS,110000090f,Interrex,15,110000090f
L935166,Tushpa,,u,Larus armenicus,ARMENIAN_GULL,juvenile,931,,,,harness,,40.511731,45.03944,,2026-04-16T15:12:00Z,,,none,,phone network,GPS,1100000914,Interrex,15,1100000914
L935178,Aghdahak,,u,Larus armenicus,ARMENIAN_GULL,adult,757,,,,harness,,40.511731,45.03944,,2026-04-17T17:15:00Z,,,none,,phone network,GPS,110000092e,Interrex,15,110000092e
L935171,Sis,,u,Larus armenicus,ARMENIAN_GULL,adult,917,,,,harness,,40.512925,45.025987,,2026-04-17T09:25:00Z,,,none,,phone network,GPS,110000092f,Interrex,15,110000092f
L935159,Abul,,u,Larus armenicus,ARMENIAN_GULL,adult,812,,,,harness,,40.512925,45.025987,wing_length: 44.9 | head_length: 116.9 | tarsus_length: 73.4,2025-05-22T16:40:00Z,,,none,,phone network,GPS,1100000934,Interrex,15,1100000934
L935158,Tondrak,,u,Larus armenicus,ARMENIAN_GULL,adult,913,,,,harness,,40.512925,45.025987,wing_length: 45.0 | head_length: 122.3 | tarsus_length: 68.2,2025-05-22T06:55:00Z,,,none,,phone network,GPS,1100000936,Interrex,15,1100000936
L935177,Masis,,u,Larus armenicus,ARMENIAN_GULL,adult,939,,,,harness,,40.511731,45.03944,,2026-04-17T17:00:00Z,,,none,,phone network,GPS,1100000962,Interrex,15,1100000962
L935161,Eranos,,u,Larus armenicus,ARMENIAN_GULL,juvenile,664,,,,harness,,40.514786,45.040916,wing_length: 42.1 | head_length: NA | tarsus_length: 66.5,2025-05-24T07:30:00Z,,,none,,phone network,GPS,1100000966,Interrex,15,1100000966
L935156,Varag,,u,Larus armenicus,ARMENIAN_GULL,adult,,,,,harness,,40.512925,45.025987,wing_length: 45.7 | head_length: 122.4 | tarsus_length: 70.8,2025-05-21T19:30:00Z,Escaped with back knots partially equipped.,,none,,phone network,GPS,110000096b,Interrex,15,110000096b
L935174,Qirs,,u,Larus armenicus,ARMENIAN_GULL,adult,1019,,,,harness,,40.511731,45.03944,,2026-04-17T15:30:00Z,,,none,,phone network,GPS,1100000994,Interrex,15,1100000994
L935167,Ani,,u,Larus armenicus,ARMENIAN_GULL,adult,836,,,,harness,,40.511731,45.03944,,2026-04-16T16:08:00Z,,,none,,phone network,GPS,16000002b2,Interrex,15,16000002b2
Z.AOA,,Z.AOA,u,Larus armenicus,ARMENIAN_GULL,juvenile,743,predation,2024-10-05T12:00:00Z,Predated by raptor.,harness,2024-10-05T12:00:00Z,40.512925,45.025987,wing_length: 41.6 | head_length: 113.6 | tarsus_length: 64.9,2024-09-15T06:55:00Z,Predated by raptor.,dead,none,,phone network,GPS,16000002cd,Interrex,15,16000002cd
